CreationVote,CreationPost,VoteType,PostId
2014-05-08T00:00:00.000,2011-11-15T21:13:20.933,2,26
2011-11-15T00:00:00.000,2011-11-15T21:15:20.633,2,28
2011-11-15T00:00:00.000,2011-11-15T21:15:20.633,2,28
2011-11-15T00:00:00.000,2011-11-15T21:15:20.633,2,28
2011-11-16T00:00:00.000,2011-11-15T21:15:20.633,2,28
2011-11-16T00:00:00.000,2011-11-15T21:15:20.633,2,28
2011-11-20T00:00:00.000,2011-11-15T21:15:20.633,2,28
2011-11-22T00:00:00.000,2011-11-15T21:15:20.633,2,28
2011-11-22T00:00:00.000,2011-11-15T21:15:20.633,2,28
2011-11-30T00:00:00.000,2011-11-15T21:15:20.633,2,28
2011-12-12T00:00:00.000,2011-11-15T21:15:20.633,2,28
2011-12-15T00:00:00.000,2011-11-15T21:15:20.633,2,28
2012-03-23T00:00:00.000,2011-11-15T21:15:20.633,2,28
2014-12-30T00:00:00.000,2011-11-15T21:15:20.633,2,28
2015-01-03T00:00:00.000,2011-11-15T21:15:20.633,2,28
2015-08-19T00:00:00.000,2011-11-15T21:15:20.633,2,28
2011-11-15T00:00:00.000,2011-11-15T21:16:33.503,2,31
2011-11-16T00:00:00.000,2011-11-15T21:16:33.503,2,31
2011-11-16T00:00:00.000,2011-11-15T21:16:33.503,2,31
2011-11-16T00:00:00.000,2011-11-15T21:16:33.503,2,31
2011-11-16T00:00:00.000,2011-11-15T21:16:33.503,2,31
2011-11-16T00:00:00.000,2011-11-15T21:16:33.503,2,31
2011-11-17T00:00:00.000,2011-11-15T21:16:33.503,2,31
2011-11-19T00:00:00.000,2011-11-15T21:16:33.503,2,31
2012-01-07T00:00:00.000,2011-11-15T21:16:33.503,2,31
2012-01-23T00:00:00.000,2011-11-15T21:16:33.503,2,31
2012-02-20T00:00:00.000,2011-11-15T21:16:33.503,2,31
2012-04-20T00:00:00.000,2011-11-15T21:16:33.503,2,31
2013-01-07T00:00:00.000,2011-11-15T21:16:33.503,2,31
2013-02-20T00:00:00.000,2011-11-15T21:16:33.503,2,31
2014-03-15T00:00:00.000,2011-11-15T21:16:33.503,2,31
2014-11-18T00:00:00.000,2011-11-15T21:16:33.503,2,31
2015-06-17T00:00:00.000,2011-11-15T21:16:33.503,2,31
2011-11-15T00:00:00.000,2011-11-15T21:17:51.077,2,32
2011-11-16T00:00:00.000,2011-11-15T21:17:51.077,2,32
2011-11-16T00:00:00.000,2011-11-15T21:17:51.077,2,32
2011-11-16T00:00:00.000,2011-11-15T21:17:51.077,2,32
2011-11-17T00:00:00.000,2011-11-15T21:17:51.077,2,32
2011-11-22T00:00:00.000,2011-11-15T21:17:51.077,2,32
2011-11-24T00:00:00.000,2011-11-15T21:17:51.077,2,32
2011-12-17T00:00:00.000,2011-11-15T21:17:51.077,2,32
2011-12-23T00:00:00.000,2011-11-15T21:17:51.077,2,32
2012-01-16T00:00:00.000,2011-11-15T21:17:51.077,2,32
2012-07-16T00:00:00.000,2011-11-15T21:17:51.077,2,32
2012-08-30T00:00:00.000,2011-11-15T21:17:51.077,2,32
2012-10-09T00:00:00.000,2011-11-15T21:17:51.077,2,32
2012-11-07T00:00:00.000,2011-11-15T21:17:51.077,2,32
2013-01-18T00:00:00.000,2011-11-15T21:17:51.077,2,32
2014-01-04T00:00:00.000,2011-11-15T21:17:51.077,3,32
2014-06-02T00:00:00.000,2011-11-15T21:17:51.077,2,32
2015-07-19T00:00:00.000,2011-11-15T21:17:51.077,2,32
2011-11-15T00:00:00.000,2011-11-15T21:18:22.457,2,34
2011-11-15T00:00:00.000,2011-11-15T21:18:22.457,2,34
2011-11-15T00:00:00.000,2011-11-15T21:18:22.457,2,34
2011-11-15T00:00:00.000,2011-11-15T21:18:22.457,2,34
2011-11-16T00:00:00.000,2011-11-15T21:18:22.457,2,34
2011-11-16T00:00:00.000,2011-11-15T21:18:22.457,2,34
2011-11-17T00:00:00.000,2011-11-15T21:18:22.457,2,34
2011-11-18T00:00:00.000,2011-11-15T21:18:22.457,2,34
2011-11-24T00:00:00.000,2011-11-15T21:18:22.457,2,34
2012-01-03T00:00:00.000,2011-11-15T21:18:22.457,2,34
2012-09-27T00:00:00.000,2011-11-15T21:18:22.457,2,34
2013-11-22T00:00:00.000,2011-11-15T21:18:22.457,2,34
2014-08-03T00:00:00.000,2011-11-15T21:18:22.457,2,34
2014-09-11T00:00:00.000,2011-11-15T21:18:22.457,2,34
2015-06-21T00:00:00.000,2011-11-15T21:18:22.457,2,34
2015-07-19T00:00:00.000,2011-11-15T21:18:22.457,2,34
2015-10-27T00:00:00.000,2011-11-15T21:18:22.457,2,34
2015-11-06T00:00:00.000,2011-11-15T21:18:22.457,2,34
2011-11-15T00:00:00.000,2011-11-15T21:21:58.747,2,38
2011-11-15T00:00:00.000,2011-11-15T21:21:58.747,2,38
2011-11-15T00:00:00.000,2011-11-15T21:21:58.747,2,38
2011-11-15T00:00:00.000,2011-11-15T21:21:58.747,2,38
2011-11-16T00:00:00.000,2011-11-15T21:21:58.747,2,38
2011-11-16T00:00:00.000,2011-11-15T21:21:58.747,2,38
2011-11-16T00:00:00.000,2011-11-15T21:21:58.747,2,38
2011-11-17T00:00:00.000,2011-11-15T21:21:58.747,2,38
2011-11-19T00:00:00.000,2011-11-15T21:21:58.747,2,38
2011-11-20T00:00:00.000,2011-11-15T21:21:58.747,2,38
2011-11-20T00:00:00.000,2011-11-15T21:21:58.747,2,38
2011-12-01T00:00:00.000,2011-11-15T21:21:58.747,2,38
2012-01-16T00:00:00.000,2011-11-15T21:21:58.747,2,38
2012-04-25T00:00:00.000,2011-11-15T21:21:58.747,2,38
2013-01-01T00:00:00.000,2011-11-15T21:21:58.747,2,38
2013-01-27T00:00:00.000,2011-11-15T21:21:58.747,2,38
2013-11-14T00:00:00.000,2011-11-15T21:21:58.747,2,38
2013-11-22T00:00:00.000,2011-11-15T21:21:58.747,2,38
2015-04-02T00:00:00.000,2011-11-15T21:21:58.747,2,38
2015-07-19T00:00:00.000,2011-11-15T21:21:58.747,2,38
2015-09-15T00:00:00.000,2011-11-15T21:21:58.747,2,38
