,AnsId,QuestionId,Ans_count,index,Votes,AnsRank,Age_vot,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
251,9,3.0,9,39,0.0,2,752,0.875,0.222222222222,0.0493827160494,0.111111111111
252,410,3.0,9,39,0.0,3,752,0.833333333333,0.333333333333,0.111111111111,0.111111111111
253,35,3.0,9,39,0.0,4,752,0.0,0.444444444444,0.197530864198,-0.111111111111
254,143,3.0,9,39,0.0,5,752,0.0,0.555555555556,0.308641975309,-0.111111111111
255,148,3.0,9,39,1.0,6,752,0.0,0.666666666667,0.444444444444,-0.111111111111
256,11,3.0,9,39,1.0,7,752,0.833333333333,0.777777777778,0.604938271605,0.444444444444
257,15,3.0,9,39,0.0,8,752,-0.5,0.888888888889,0.79012345679,-0.111111111111
258,12,3.0,9,39,0.0,9,752,0.0,1.0,1.0,0.111111111111
259,109,3.0,9,40,1.0,1,776,0.823529411765,0.111111111111,0.0123456790123,-0.333333333333
260,9,3.0,9,40,0.0,2,776,0.875,0.222222222222,0.0493827160494,0.111111111111
261,410,3.0,9,40,0.0,3,776,0.833333333333,0.333333333333,0.111111111111,0.111111111111
262,35,3.0,9,40,0.0,4,776,0.0,0.444444444444,0.197530864198,-0.111111111111
263,143,3.0,9,40,0.0,5,776,0.0,0.555555555556,0.308641975309,-0.111111111111
264,148,3.0,9,40,0.0,6,776,0.0,0.666666666667,0.444444444444,-0.111111111111
265,11,3.0,9,40,0.0,7,776,0.833333333333,0.777777777778,0.604938271605,0.444444444444
266,15,3.0,9,40,0.0,8,776,-0.5,0.888888888889,0.79012345679,-0.111111111111
267,12,3.0,9,40,0.0,9,776,0.0,1.0,1.0,0.111111111111
268,109,3.0,9,41,1.0,1,781,0.833333333333,0.111111111111,0.0123456790123,-0.111111111111
269,9,3.0,9,41,0.0,2,781,0.875,0.222222222222,0.0493827160494,0.111111111111
270,410,3.0,9,41,0.0,3,781,0.833333333333,0.333333333333,0.111111111111,0.0
271,35,3.0,9,41,0.0,4,781,0.0,0.444444444444,0.197530864198,-0.111111111111
272,143,3.0,9,41,0.0,5,781,0.0,0.555555555556,0.308641975309,-0.111111111111
273,148,3.0,9,41,0.0,6,781,0.0,0.666666666667,0.444444444444,-0.111111111111
274,11,3.0,9,41,0.0,7,781,0.833333333333,0.777777777778,0.604938271605,0.333333333333
275,15,3.0,9,41,0.0,8,781,-0.5,0.888888888889,0.79012345679,-0.111111111111
276,12,3.0,9,41,0.0,9,781,0.0,1.0,1.0,0.111111111111
277,109,3.0,10,42,0.0,1,952,0.833333333333,0.1,0.01,-0.1
278,9,3.0,10,42,0.0,2,952,0.875,0.2,0.04,0.1
279,410,3.0,10,42,0.0,3,952,0.833333333333,0.3,0.09,0.0
280,35,3.0,10,42,0.0,4,952,0.0,0.4,0.16,-0.1
281,4571,3.0,10,42,1.0,5,952,0.0,0.5,0.25,-0.1
282,143,3.0,10,42,0.0,6,952,0.0,0.6,0.36,-0.1
283,148,3.0,10,42,0.0,7,952,0.0,0.7,0.49,-0.1
284,11,3.0,10,42,0.0,8,952,0.833333333333,0.8,0.64,0.4
285,15,3.0,10,42,0.0,9,952,-0.5,0.9,0.81,-0.1
286,12,3.0,10,42,0.0,10,952,0.0,1.0,1.0,0.1
287,109,3.0,10,43,1.0,1,1191,0.842105263158,0.1,0.01,-0.2
288,410,3.0,10,43,1.0,2,1191,0.857142857143,0.2,0.04,0.0
289,9,3.0,10,43,0.0,3,1191,0.875,0.3,0.09,0.2
290,35,3.0,10,43,0.0,4,1191,0.0,0.4,0.16,-0.1
291,4571,3.0,10,43,0.0,5,1191,0.0,0.5,0.25,-0.1
292,143,3.0,10,43,0.0,6,1191,0.0,0.6,0.36,-0.1
293,148,3.0,10,43,0.0,7,1191,0.0,0.7,0.49,-0.1
294,11,3.0,10,43,0.0,8,1191,0.833333333333,0.8,0.64,0.4
295,15,3.0,10,43,0.0,9,1191,-0.5,0.9,0.81,-0.1
296,12,3.0,10,43,0.0,10,1191,0.0,1.0,1.0,0.1
297,109,3.0,11,44,0.0,1,1219,0.842105263158,0.0909090909091,0.00826446280992,-0.181818181818
298,410,3.0,11,44,0.0,2,1219,0.857142857143,0.181818181818,0.0330578512397,0.0
299,9,3.0,11,44,0.0,3,1219,0.875,0.272727272727,0.0743801652893,0.181818181818
300,35,3.0,11,44,0.0,4,1219,0.0,0.363636363636,0.132231404959,-0.0909090909091
301,1669,3.0,11,44,1.0,5,1219,0.0,0.454545454545,0.206611570248,-0.0909090909091
302,4571,3.0,11,44,0.0,6,1219,0.0,0.545454545455,0.297520661157,-0.0909090909091
303,143,3.0,11,44,0.0,7,1219,0.0,0.636363636364,0.404958677686,-0.0909090909091
304,148,3.0,11,44,0.0,8,1219,0.0,0.727272727273,0.528925619835,-0.0909090909091
305,11,3.0,11,44,0.0,9,1219,0.833333333333,0.818181818182,0.669421487603,0.454545454545
306,15,3.0,11,44,0.0,10,1219,-0.5,0.909090909091,0.826446280992,-0.0909090909091
307,12,3.0,11,44,0.0,11,1219,0.0,1.0,1.0,0.0909090909091
308,109,3.0,11,45,1.0,1,1220,0.85,0.0909090909091,0.00826446280992,-0.181818181818
309,410,3.0,11,45,0.0,2,1220,0.857142857143,0.181818181818,0.0330578512397,0.0
310,9,3.0,11,45,0.0,3,1220,0.875,0.272727272727,0.0743801652893,0.181818181818
311,35,3.0,11,45,0.0,4,1220,0.0,0.363636363636,0.132231404959,-0.0909090909091
312,4571,3.0,11,45,0.0,5,1220,0.0,0.454545454545,0.206611570248,-0.0909090909091
313,143,3.0,11,45,0.0,6,1220,0.0,0.545454545455,0.297520661157,-0.0909090909091
314,1669,3.0,11,45,1.0,7,1220,0.0,0.636363636364,0.404958677686,-0.0909090909091
315,148,3.0,11,45,0.0,8,1220,0.0,0.727272727273,0.528925619835,-0.0909090909091
316,11,3.0,11,45,0.0,9,1220,0.833333333333,0.818181818182,0.669421487603,0.454545454545
317,15,3.0,11,45,0.0,10,1220,-0.5,0.909090909091,0.826446280992,-0.0909090909091
