,index,AnsRank,Votes,Age_vot,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
9066,3867,5,0.0,927,0.0,0.0,0.0,-0.166666666667
9070,3871,1,0.0,19,0.0,-0.333333333333,0.111111111111,-0.666666666667
9071,3871,2,0.0,19,0.8,0.333333333333,0.111111111111,-0.333333333333
9075,3875,1,0.0,34,0.5,0.0,0.0,-0.666666666667
9076,3875,2,0.0,34,0.0,0.0,0.0,-0.333333333333
9077,3876,1,0.0,35,0.5,0.0,0.0,-0.666666666667
9078,3876,2,1.0,35,0.0,0.0,0.0,-0.333333333333
9079,3877,1,1.0,36,0.571428571429,0.0,0.0,-0.666666666667
9080,3877,2,0.0,36,0.0,0.0,0.0,-0.333333333333
9081,3878,1,1.0,38,0.625,0.0,0.0,-0.666666666667
9082,3878,2,0.0,38,0.0,0.0,0.0,-0.333333333333
9083,3879,1,0.0,202,0.625,-0.333333333333,0.111111111111,-0.666666666667
9084,3879,2,3.0,202,0.666666666667,0.333333333333,0.111111111111,-0.333333333333
9085,3880,1,1.0,842,0.666666666667,0.0,0.0,-0.666666666667
9086,3880,2,0.0,842,0.666666666667,0.0,0.0,-0.333333333333
9087,3881,1,1.0,848,0.7,0.0,0.0,-0.666666666667
9088,3881,2,0.0,848,0.666666666667,0.0,0.0,-0.333333333333
9089,3882,1,3.0,896,0.727272727273,0.0,0.0,-0.666666666667
9090,3882,2,0.0,896,0.666666666667,0.0,0.0,-0.333333333333
9100,3892,1,1.0,12,0.0,0.0,0.0,-0.666666666667
9101,3892,2,1.0,12,0.0,0.0,0.0,-0.333333333333
9102,3893,1,1.0,26,0.0,0.0,0.0,-0.75
9103,3893,2,0.0,26,0.0,0.0,0.0,-0.5
9104,3893,3,0.0,26,0.0,0.0,0.0,-0.25
9105,3894,1,1.0,27,0.0,0.0,0.0,-0.75
9106,3894,2,0.0,27,0.0,0.0,0.0,-0.5
9107,3894,3,0.0,27,0.0,0.0,0.0,-0.25
9108,3895,1,1.0,106,0.5,0.0,0.0,-0.75
9109,3895,2,0.0,106,0.0,0.0,0.0,-0.5
9110,3895,3,0.0,106,0.0,0.0,0.0,-0.25
9130,3915,1,0.0,6,0.666666666667,0.0,0.0,-0.666666666667
9131,3915,2,1.0,6,0.0,0.0,0.0,-0.333333333333
9132,3916,1,1.0,7,0.0,-0.333333333333,0.111111111111,-0.666666666667
9133,3916,2,0.0,7,0.666666666667,0.333333333333,0.111111111111,-0.333333333333
9134,3917,1,1.0,8,0.75,0.0,0.0,-0.666666666667
9135,3917,2,1.0,8,0.5,0.0,0.0,-0.333333333333
9136,3918,1,1.0,537,0.8,0.0,0.0,-0.666666666667
9137,3918,2,0.0,537,0.5,0.0,0.0,-0.333333333333
9140,3921,1,1.0,2,0.0,0.0,0.0,-0.666666666667
9141,3921,2,1.0,2,0.0,0.0,0.0,-0.333333333333
9148,3928,1,0.0,270,0.5,0.0,0.0,-0.666666666667
9149,3928,2,2.0,270,0.0,0.0,0.0,-0.333333333333
9150,3929,1,2.0,271,0.0,-0.333333333333,0.111111111111,-0.666666666667
9151,3929,2,0.0,271,0.5,0.333333333333,0.111111111111,-0.333333333333
9152,3930,1,1.0,516,0.666666666667,0.0,0.0,-0.666666666667
9153,3930,2,0.0,516,0.5,0.0,0.0,-0.333333333333
9154,3931,1,1.0,821,0.8,0.0,0.0,-0.666666666667
9155,3931,2,0.0,821,0.5,0.0,0.0,-0.333333333333
9176,3952,1,1.0,665,0.0,0.0,0.0,-0.666666666667
9177,3952,2,0.0,665,0.0,0.0,0.0,-0.333333333333
9181,3956,1,0.0,583,0.875,0.0,0.0,-0.666666666667
9182,3956,2,1.0,583,0.0,0.0,0.0,-0.333333333333
9183,3957,1,0.0,584,0.875,0.0,0.0,-0.666666666667
9184,3957,2,1.0,584,0.0,0.0,0.0,-0.333333333333
9191,3964,1,1.0,1,0.0,0.0,0.0,-0.666666666667
9192,3964,2,1.0,1,0.0,0.0,0.0,-0.333333333333
9193,3965,1,2.0,2,0.0,0.0,0.0,-0.75
9194,3965,2,0.0,2,0.0,0.0,0.0,-0.5
9195,3965,3,1.0,2,0.0,0.0,0.0,-0.25
9196,3966,1,1.0,3,0.5,0.0,0.0,-0.75
9197,3966,2,0.0,3,0.0,0.0,0.0,-0.5
9198,3966,3,0.0,3,0.0,0.0,0.0,-0.25
9199,3967,1,1.0,9,0.75,0.0,0.0,-0.75
9200,3967,2,0.0,9,0.0,0.0,0.0,-0.5
9201,3967,3,0.0,9,0.0,0.0,0.0,-0.25
9203,3969,1,0.0,7,0.0,0.0,0.0,-0.666666666667
9204,3969,2,1.0,7,0.0,0.0,0.0,-0.333333333333
9205,3970,1,0.0,8,0.0,0.0,0.0,-0.666666666667
9206,3970,2,1.0,8,0.0,0.0,0.0,-0.333333333333
9209,3973,1,2.0,1,0.0,0.0,0.0,-0.666666666667
9210,3973,2,2.0,1,0.0,0.0,0.0,-0.333333333333
9211,3974,1,1.0,2,0.0,0.0,0.0,-0.666666666667
9212,3974,2,1.0,2,0.0,0.0,0.0,-0.333333333333
9213,3975,1,0.0,3,-0.666666666667,-1.0,-0.333333333333,-0.666666666667
9214,3975,2,0.0,3,-0.666666666667,-1.0,-0.333333333333,-0.333333333333
9215,3976,1,0.0,8,-0.666666666667,-1.0,0.333333333333,-0.666666666667
9216,3976,2,1.0,8,0.0,0.0,0.0,-0.333333333333
9217,3977,1,0.0,10,-0.666666666667,-1.0,0.333333333333,-0.666666666667
9218,3977,2,1.0,10,0.083333333333,0.0,0.0,-0.333333333333
9219,3978,1,0.0,11,-0.666666666667,-1.0,0.333333333333,-0.666666666667
9220,3978,2,1.0,11,0.133333333333,0.0,0.0,-0.333333333333
9229,3987,1,0.0,678,0.875,0.0,0.0,-0.666666666667
9230,3987,2,0.0,678,0.666666666667,0.0,0.0,-0.333333333333
9231,3988,1,0.0,890,0.666666666667,0.0,0.0,-0.666666666667
9232,3988,2,1.0,890,0.0,0.0,0.0,-0.333333333333
9233,3989,1,0.0,891,0.666666666667,0.0,0.0,-0.666666666667
9234,3989,2,0.0,891,0.0,0.0,0.0,-0.333333333333
9239,3994,1,1.0,19,0.0,0.0,0.0,-0.666666666667
9240,3994,2,0.0,19,0.0,0.0,0.0,-0.333333333333
9241,3995,1,1.0,1,0.0,0.0,0.0,-0.666666666667
9242,3995,2,2.0,1,0.0,0.0,0.0,-0.333333333333
9243,3996,1,1.0,2,0.0,0.0,0.0,-0.666666666667
9244,3996,2,1.0,2,0.0,0.0,0.0,-0.333333333333
9245,3997,1,1.0,589,0.666666666667,0.0,0.0,-0.666666666667
9246,3997,2,1.0,589,0.5,0.0,0.0,-0.333333333333
9247,3998,1,0.0,597,0.666666666667,0.0,0.0,-0.75
9248,3998,2,0.0,597,0.5,0.0,0.0,-0.5
9249,3998,3,0.0,597,0.0,0.0,0.0,-0.25
9257,4006,1,0.0,894,0.5,0.0,0.0,-0.666666666667
9258,4006,2,0.0,894,0.0,0.0,0.0,-0.333333333333
9267,4015,1,0.0,798,0.8,-0.333333333333,0.111111111111,-0.666666666667
9268,4015,2,0.0,798,0.875,0.333333333333,0.111111111111,-0.333333333333
9269,4016,1,2.0,799,-0.875,-1.33333333333,0.0,-0.666666666667
9270,4016,2,0.0,799,-0.075,-0.666666666667,-0.444444444444,-0.333333333333
9271,4017,1,0.0,807,-0.875,-1.33333333333,0.0,-0.666666666667
9272,4017,2,1.0,807,-0.041666666667,-0.666666666667,-0.444444444444,-0.333333333333
9273,4018,1,0.0,808,-0.833333333333,-1.0,0.333333333333,-0.666666666667
9274,4018,2,1.0,808,0.055555555556,0.0,0.0,-0.333333333333
9281,4025,1,0.0,131,0.933333333333,0.0,0.0,-0.666666666667
9282,4025,2,0.0,131,0.0,0.0,0.0,-0.333333333333
9283,4026,1,0.0,132,0.933333333333,0.0,0.0,-0.666666666667
9284,4026,2,1.0,132,0.0,0.0,0.0,-0.333333333333
9286,4028,1,2.0,1,0.0,0.0,0.0,-0.666666666667
9287,4028,2,2.0,1,0.0,0.0,0.0,-0.333333333333
