,QuestionId,Age_vot,AnsRank,Votes,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
0,22.0,28,1,0.0,0.666666666667,0.333333333333,0.111111111111,-0.666666666667
1,22.0,28,1,0.0,0.666666666667,0.333333333333,0.111111111111,-0.666666666667
2,22.0,28,1,1.0,0.666666666667,0.333333333333,0.111111111111,-0.666666666667
0,22.0,123,1,1.0,0.7,0.333333333333,0.111111111111,-0.666666666667
0,22.0,129,1,1.0,0.727272727273,0.333333333333,0.111111111111,-0.666666666667
0,22.0,163,1,0.0,0.75,0.333333333333,0.111111111111,-0.666666666667
1,22.0,163,1,1.0,0.75,0.333333333333,0.111111111111,-0.666666666667
0,22.0,182,1,0.0,0.75,0.333333333333,0.111111111111,-0.666666666667
0,22.0,665,1,0.0,0.75,0.333333333333,0.111111111111,-0.666666666667
1,22.0,665,1,0.0,0.75,0.333333333333,0.111111111111,-0.666666666667
0,22.0,703,1,1.0,0.769230769231,0.333333333333,0.111111111111,-0.666666666667
0,22.0,739,1,1.0,0.785714285714,0.333333333333,0.111111111111,-0.666666666667
0,22.0,1204,1,1.0,0.8,0.333333333333,0.111111111111,-0.666666666667
0,22.0,1340,1,0.0,0.8,0.25,0.0625,-0.5
0,22.0,1341,1,0.0,0.8125,0.25,0.0625,-0.25
1,22.0,1341,1,0.0,0.8125,0.25,0.0625,-0.25
2,22.0,1341,1,0.0,0.8125,0.25,0.0625,-0.25
3,22.0,1341,1,0.0,0.8125,0.25,0.0625,-0.25
4,22.0,1341,1,0.0,0.8125,0.25,0.0625,-0.25
5,22.0,1341,1,1.0,0.8125,0.25,0.0625,-0.25
0,22.0,1372,1,0.0,0.823529411765,0.25,0.0625,-0.25
1,22.0,1372,1,0.0,0.823529411765,0.25,0.0625,-0.25
2,22.0,1372,1,1.0,0.823529411765,0.25,0.0625,-0.25
3,22.0,1372,1,1.0,0.823529411765,0.25,0.0625,-0.25
0,22.0,1373,1,1.0,0.833333333333,0.25,0.0625,-0.25
0,22.0,1413,1,0.0,0.833333333333,0.25,0.0625,-0.25
0,25.0,0,1,0.0,0.0,0.5,0.25,0.0
1,25.0,0,1,1.0,0.0,0.5,0.25,0.0
0,25.0,2,1,1.0,0.0,0.333333333333,0.111111111111,0.0
0,25.0,3,1,1.0,0.0,0.333333333333,0.111111111111,0.0
0,25.0,5,1,0.0,0.5,0.25,0.0625,0.0
1,25.0,5,1,1.0,0.5,0.25,0.0625,0.0
0,25.0,6,1,0.0,0.666666666667,0.25,0.0625,0.0
1,25.0,6,1,1.0,0.666666666667,0.25,0.0625,0.0
0,25.0,30,1,0.0,0.75,0.25,0.0625,0.0
1,25.0,30,1,1.0,0.75,0.25,0.0625,0.0
0,25.0,85,1,0.0,0.75,0.25,0.0625,0.0
0,25.0,90,1,0.0,0.75,0.2,0.04,0.0
0,25.0,91,1,0.0,0.75,0.2,0.04,0.0
0,25.0,97,1,1.0,0.8,0.2,0.04,0.0
0,25.0,102,1,0.0,0.833333333333,0.2,0.04,0.0
1,25.0,102,1,1.0,0.833333333333,0.2,0.04,0.0
0,25.0,128,1,1.0,0.857142857143,0.2,0.04,0.0
0,25.0,162,1,1.0,0.875,0.2,0.04,0.0
0,25.0,344,1,1.0,0.888888888889,0.2,0.04,0.0
1,25.0,344,1,1.0,0.888888888889,0.2,0.04,0.0
2,25.0,344,1,1.0,0.888888888889,0.2,0.04,0.0
0,25.0,346,1,0.0,0.888888888889,0.142857142857,0.0204081632653,0.0
1,25.0,346,1,0.0,0.888888888889,0.142857142857,0.0204081632653,0.0
0,25.0,347,1,0.0,0.888888888889,0.142857142857,0.0204081632653,0.0
1,25.0,347,1,0.0,0.888888888889,0.142857142857,0.0204081632653,0.0
0,25.0,867,1,0.0,0.9,0.125,0.015625,0.0
1,25.0,867,1,1.0,0.9,0.125,0.015625,0.0
0,25.0,869,1,1.0,0.923076923077,0.125,0.015625,0.0
0,25.0,918,1,0.0,0.923076923077,0.125,0.015625,0.0
0,25.0,960,1,1.0,0.928571428571,0.125,0.015625,0.0
0,25.0,1072,1,0.0,0.928571428571,0.111111111111,0.0123456790123,0.0
0,25.0,1073,1,0.0,0.933333333333,0.111111111111,0.0123456790123,0.0
1,25.0,1073,1,1.0,0.933333333333,0.111111111111,0.0123456790123,0.0
0,25.0,1138,1,0.0,0.9375,0.111111111111,0.0123456790123,0.0
1,25.0,1138,1,1.0,0.9375,0.111111111111,0.0123456790123,0.0
0,25.0,1140,1,1.0,0.941176470588,0.111111111111,0.0123456790123,0.0
0,25.0,1218,1,0.0,0.941176470588,0.111111111111,0.0123456790123,0.0
0,25.0,1375,1,0.0,0.941176470588,0.111111111111,0.0123456790123,0.0
0,26.0,17,1,1.0,0.0,1.0,1.0,0.0
